,BC,EFD,PPO,PPO_pre,PPO_KG
0,23611.610531708237,21612.505175915063,21219.046776582076,22029.66781612561,21215.231816778727
1,11492.864847855217,11492.865014978468,11501.796138429232,11501.785628367423,11501.7845384317
2,35104.47537956345,33105.37019089353,32720.842915011308,33531.45344449303,32717.016355210428
3,21172.021798872567,19353.336316684436,19030.237375623423,19770.192672042263,18983.41507833174
4,9593.45978457391,9593.459825084643,9602.556057763955,9602.555838619908,9602.5558840829
5,30765.481583446475,28946.79614176908,28632.793433387378,29372.74851066217,28585.970962414638
6,30114.943267594885,28284.182889502452,27930.27757798759,28680.339909076345,27907.11937298475
7,12163.083043257124,12163.082452481704,12172.157731981843,12172.156410214307,12172.157208062123
8,42278.02631085201,40447.26534198415,40102.43530996943,40852.49631929065,40079.27658104687
9,30755.888755328586,28769.2383951183,28433.885395090703,29212.828768474774,28346.911053359087
10,12258.871701296033,12258.871309558665,12267.768025633048,12267.76769370517,12267.767958621655
11,43014.760456624615,41028.109704676965,40701.65342072375,41480.59646217994,40614.67901198074
12,32000.914092497103,30147.98975716783,29816.4298252825,30576.493303092604,29784.778691016938
13,15317.071339560876,15317.070693165862,15326.173266918642,15326.172762097447,15326.173134036124
14,47317.985432057976,45465.060450333694,45142.60309220114,45902.66606519005,45110.95182505306
15,23330.58432432561,21361.031121973956,21009.116278767284,21764.007694949443,20990.003247375902
16,12522.015247267269,12522.007445574618,12531.065606556425,12531.06481736261,12531.066175429383
17,35852.59957159288,33883.038567548574,33540.181885323706,34295.07251231205,33521.06942280529
18,22524.007140014863,20435.164619515366,20017.796851652143,20834.558067846727,19972.27037867509
19,12155.675829657468,12155.674353934744,12164.592183310693,12164.591842977125,12164.592356760588
20,34679.68296967233,32590.83897345011,32182.389034962835,32999.14991082385,32136.86273543568
21,27974.80827250779,26114.674675527032,25821.219978569607,26596.009863078165,25779.805815458345
22,10991.06785140349,10991.067133648197,11000.134017935394,11000.12985636419,11000.135099152834
23,38965.87612391128,37105.74180917523,36821.353996505,37596.139719442355,36779.94091461118
24,27819.150885312425,25819.040718675926,25384.923026851415,26278.675082703543,25339.828102182328
25,10978.975430018485,10978.980685526916,10987.898347804588,10987.896564426559,10987.698473690729
26,38798.12631533091,36798.02140420284,36372.82137465601,37266.5716471301,36327.52657587305
27,21938.08938872743,20105.98811118388,19804.910146302456,20525.494830189808,19748.070725184254
28,11092.267720986853,11092.267502919582,11101.366600503216,11101.366568479982,11101.366699387396
29,33030.357109714285,31198.255614103462,30906.27674680567,31626.86139866979,30849.43742457165
